,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
43,Chelsea,Wolves,5,2,2.499071875,1.499163125,1.1052177916666666,1.636763125,7.291666666666666,4.229166666666666,4.166666666666667,7.333333333333334,11.3125,16.104166666666664,11.791666666666666,8.854166666666666
44,Burnley,Brighton,1,1,1.1590080416666668,1.3700200833333334,1.2017580833333334,1.6434942083333333,4.041666666666667,7.604166666666666,7.770833333333333,6.791666666666666,13.25,9.208333333333332,7.729166666666666,14.5625
45,Southampton,Sheffield United,1,0,1.5168554583333331,0.9723350416666667,1.6006436458333333,1.5697226041666665,6.375,4.229166666666667,7.4375,7.020833333333333,7.75,14.270833333333334,15.875,11.416666666666668
46,Man City,Norwich,2,3,3.320101666666667,1.239132333333333,1.3485207291666665,2.419960625,14.0625,8.208333333333332,3.9583333333333335,10.708333333333332,8.041666666666668,11.375,24.895833333333332,9.458333333333334
47,Everton,Bournemouth,1,3,1.5353479166666668,1.343961,1.3929765833333334,1.8430212499999998,7.25,4.875,5.5625,10.854166666666666,9.833333333333334,13.291666666666668,14.145833333333334,6.604166666666666
48,Arsenal,Watford,2,2,1.6113849999999998,1.4803691666666667,1.8258805416666666,2.3558937916666665,9.270833333333334,7.666666666666666,7.979166666666666,7.166666666666667,12.875,16.854166666666668,9.354166666666666,15.354166666666668
49,West Ham,Aston Villa,0,0,1.322387916666667,1.548947875,1.6994616666666669,1.562400625,9.5,5.854166666666667,7.1875,10.020833333333334,11.770833333333334,9.166666666666666,12.6875,8.291666666666666
50,Bournemouth,Southampton,3,1,1.195923375,1.3594602760416667,1.5590643437499998,1.8240150651041667,5.140625,5.453125,9.622395833333332,7.0078125,12.755208333333334,8.90625,8.153645833333332,14.515625
51,Tottenham,Leicester,1,2,1.1918891927083335,1.5423634536458333,1.48845553125,1.2734467708333335,6.947916666666666,7.955729166666667,8.341145833333332,5.5234375,14.734375,6.838541666666667,11.25,13.830729166666666
52,Norwich,Burnley,0,2,1.0284874166666667,1.4752540364583335,2.472904796875,1.0680346979166666,7.807291666666666,4.411458333333334,9.244791666666666,6.674479166666666,10.078125,13.84375,10.026041666666668,8.513020833333332
53,Sheffield United,Everton,2,0,0.8729296614583333,1.5651869270833334,1.5875141536458333,1.2434147604166665,4.325520833333334,7.46875,7.393229166666666,5.3671875,14.236979166666668,9.979166666666668,10.364583333333334,13.127604166666668
54,Watford,Man City,0,8,1.1315310208333333,3.513428958333333,2.1595299427083328,1.1619192630208333,6.083333333333333,15.4296875,7.020833333333334,3.713541666666667,17.497395833333336,7.911458333333334,12.809895833333334,25.033854166666664
55,Brighton,Newcastle United,0,0,1.2974150729166667,0.5993476666666666,1.8971194322916665,1.5822385781250001,6.778645833333333,2.4609375,7.192708333333333,8.552083333333332,9.807291666666666,28.513020833333336,14.4921875,6.5625
56,Wolves,Crystal Palace,1,1,1.477574609375,1.3190324557291668,1.296175734375,1.6018929010416667,4.200520833333333,6.596354166666666,6.666666666666667,8.75,15.341145833333332,16.026041666666664,13.122395833333332,9.205729166666666
