,round,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_ppg,B_ppg,A_gpg,B_gpg,A_cpg,B_cpg,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
37,4,Liverpool,Burnley,3,0,1.78945,1.06866725,0.73578475,1.2379245,3.0,1.3333333333333333,3.0,1.6666666666666667,1.0,1.0,11.25,3.25,3.125,10.125,6.625,13.5,22.5,7.875
38,4,Wolves,Everton,2,3,1.7289637500000001,1.4069475,1.72480175,1.3384935000000002,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.875,7.5,5.0,3.875,15.125,5.0,8.625,15.375
39,4,Tottenham,Arsenal,2,2,1.48728375,1.729664,1.2524045,2.21859125,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,7.5,10.125,8.125,8.375,7.75,13.25,13.0,10.625
40,5,Newcastle United,Liverpool,1,3,0.6122383333333333,2.2443566666666666,1.6224983750000002,0.7216607416666667,1.0,3.0,0.75,3.0,1.25,0.75,2.8125,11.375,9.916666666666666,3.4375,29.729166666666668,7.520833333333334,6.5,21.583333333333336
41,5,Crystal Palace,Tottenham,0,4,1.2476855208333335,1.191643791666667,1.1862004583333334,1.34994375,1.75,1.25,0.75,1.75,0.5,1.5,7.395833333333333,7.083333333333333,7.0,8.104166666666666,14.458333333333332,12.125,9.520833333333332,12.0
42,5,Leicester,Man Utd,0,1,1.0840698041666665,1.3564396250000001,1.2906771666666665,0.7778244791666666,2.0,1.25,1.5,1.75,0.75,1.0,7.520833333333334,6.166666666666666,6.3125,4.083333333333333,6.958333333333334,9.770833333333334,12.520833333333332,12.520833333333332
43,5,Chelsea,Wolves,5,2,2.499071875,1.499163125,1.1052177916666666,1.636763125,1.25,0.75,1.5,1.0,2.25,1.25,7.291666666666666,4.229166666666666,4.166666666666667,7.333333333333334,11.3125,16.104166666666664,11.791666666666666,8.854166666666666
44,5,Burnley,Brighton,1,1,1.1590080416666668,1.3700200833333334,1.2017580833333334,1.6434942083333333,1.0,1.0,1.25,1.0,1.5,1.75,4.041666666666667,7.604166666666666,7.770833333333333,6.791666666666666,13.25,9.208333333333332,7.729166666666666,14.5625
45,5,Southampton,Sheffield United,1,0,1.5168554583333331,0.9723350416666667,1.6006436458333333,1.5697226041666665,1.0,1.25,1.0,1.25,1.5,1.25,6.375,4.229166666666667,7.4375,7.020833333333333,7.75,14.270833333333334,15.875,11.416666666666668
46,5,Man City,Norwich,2,3,3.320101666666667,1.239132333333333,1.3485207291666665,2.419960625,2.5,0.75,3.5,1.5,0.75,2.5,14.0625,8.208333333333332,3.9583333333333335,10.708333333333332,8.041666666666668,11.375,24.895833333333332,9.458333333333334
